"","decimalLongitude","decimalLatitude","species"
"522",29.766667,0.433333,1
"523",29.766667,0.433333,1
"524",29.766667,0.416667,1
"525",30.466667,1.233333,1
"526",29.766667,0.433333,1
"527",30.466667,1.233333,1
"528",29.766667,0.416667,1
"529",29.766667,0.433333,1
"530",29.766667,0.433333,1
"531",29.916667,0.583333,1
"532",29.916667,0.583333,1
"533",29.916667,0.583333,1
"534",29.916667,0.583333,1
"535",29.466667,0.483333,1
"536",29.466667,0.483333,1
"537",29.833333,0.333333,1
"538",29.833333,0.333333,1
"539",29.666667,0.666667,1
"540",29.816667,0.55,1
"541",29.666667,0.666667,1
"542",29.816667,0.55,1
"543",20,-4.15,1
"544",-9.5,6.5,1
"545",29.716694,3.733333,1
"546",-7.8667,9.1167,1
"547",9.916667,2.95,1
"548",9.916667,2.95,1
