"","decimalLongitude","decimalLatitude","species"
"222",34.836289,-2.77043,1
"223",27.132376,-25.325193,1
"224",25.785501,-33.564968,1
"225",32.472782,-27.176026,1
"226",35.330201,-14.869289,1
"227",37.508009,0.446594,1
"228",35.478906,-3.088287,1
"229",31.704306,-25.057762,1
"230",35.363859,-15.158232,1
"231",25.609211,-33.519102,1
"232",25.633617,-33.554365,1
"233",35.100352,-1.599977,1
"234",36.073758,-3.967033,1
"235",32.305781,-28.293145,1
"236",35.091277,-1.35956,1
"237",25.93309,-33.324464,1
"238",35.269343,-1.142605,1
"239",30.151442,-28.421162,1
"240",31.55654,-18.498912,1
"241",32.512281,-28.339542,1
"242",25.788651,-33.543025,1
"243",25.662143,-33.439206,1
"244",25.806087,-33.532957,1
"245",25.628013,-19.290398,1
"246",38.833274,-3.238498,1
"247",37.239831,-2.756343,1
"248",26.082972,-19.71099,1
"249",30.728853,-1.692234,1
"250",25.943066,-33.686608,1
"251",25.831481,-33.482023,1
"252",38.313117,-3.499467,1
"253",25.767804,-33.405787,1
"254",34.735611,-15.898952,1
"255",35.310735,-1.087086,1
"256",36.017691,-4.191409,1
"257",23.5,-20.1,1
"258",36.186444,-3.80787,1
"259",34.797659,-2.324826,1
"260",31.765563,2.102255,1
"261",33.699778,3.851037,1
"262",30.107743,-0.026352,1
"263",19.733684,10.858227,1
"264",32.432692,-28.384856,1
"265",19.908734,10.857518,1
"266",31.338618,-23.910527,1
"267",34.852517,-2.495007,1
"268",19.80696,-33.265569,1
"269",35.994173,-3.449668,1
"270",25.787731,-33.506726,1
"271",35.916468,-3.617158,1
"272",25.060557,-20.387746,1
"273",25.941876,-33.66397,1
"274",25.938944,-33.708826,1
"275",25.725374,-33.498709,1
"276",19.989075,10.800979,1
"277",31.468026,-25.01576,1
"278",24.395847,-18.711124,1
"279",19.78681,10.81225,1
"280",25.836834,-33.604239,1
"281",25.711877,-33.493417,1
"282",25.620184,-33.492795,1
"283",31.719149,-24.22565,1
"284",25.785424,-33.598545,1
"285",32.370783,-28.231668,1
"286",31.683531,-24.897822,1
"287",31.742763,-24.771014,1
"288",21.780078,-18.278151,1
"289",23.35327,-17.921688,1
"290",21.643238,-18.373618,1
"291",31.685086,-17.12392,1
"292",31.747079,2.392417,1
"293",37.280012,-2.749286,1
"294",31.4267,-24.904334,1
"295",31.656948,-24.832533,1
"296",31.638199,-24.806583,1
"297",31.614193,2.279809,1
"298",31.744603,2.242403,1
"299",31.430189,-25.059841,1
"300",31.826525,-24.841609,1
"301",31.895303,-24.964559,1
"302",31.933551,-24.833465,1
"303",31.906042,-24.819166,1
"304",31.489629,-25.077449,1
"305",31.41914,-24.982045,1
"306",31.549521,-24.842332,1
"307",14.495607,-21.04352,1
"308",25.035591,-17.825167,1
"309",25.689534,-17.806895,1
"310",38.750507,-3.306869,1
"311",33.639437,3.689922,1
"312",28.288313,-25.295404,1
"313",32.516253,-27.122735,1
"314",29.365432,-23.630588,1
"315",21.891321,-34.013161,1
"316",21.841727,-34.107228,1
"317",27.8,-17.3,1
"318",31.513922,2.534048,1
"319",14.583654,-19.40459,1
"320",37.933858,-3.490653,1
"321",37.899813,-3.434181,1
"322",14.045665,-19.857325,1
"323",25.766224,-33.498889,1
"324",25.68236,-33.504765,1
"325",25.127527,-20.490313,1
"326",25.13511,-20.433289,1
"327",25.757354,-33.535234,1
"328",13.940598,-21.139009,1
"329",25.721327,-33.582131,1
"330",25.839832,-33.592148,1
"331",25.79269,-33.440447,1
"332",25.767562,-33.584429,1
"333",34.723201,-15.985142,1
"334",25.642599,-33.376557,1
"335",32.355274,-28.269641,1
"336",31.842621,-28.24163,1
"337",25.849656,-33.445303,1
"338",25.848181,-33.408875,1
"339",25.951293,-33.795957,1
"340",35.298178,-14.936763,1
"341",35.244055,-15.014434,1
"342",31.883472,-20.610194,1
"343",31.185349,-24.577771,1
"344",32.429576,-28.222969,1
"345",25.808162,-33.477795,1
"346",25.687523,-33.426063,1
"347",38.791777,-3.303046,1
"348",38.786053,-3.240396,1
"349",38.635109,-3.4878,1
"350",25.758255,-33.499906,1
